,game_duration,game_ended_in_surrender,game_ended_in_early_surrender,blue_side_won,total_blue_side_minions_killed,total_blue_side_kills,total_blue_side_deaths,total_blue_side_assists,total_blue_side_gold_earned,total_blue_side_gold_spent,total_blue_side_wards_killed,total_blue_side_wards_placed,total_blue_side_vision_score,total_blue_side_towers_taken,total_blue_side_inhibitors_destroyed,total_blue_side_dragons_killed,total_blue_side_horde,total_blue_side_baron,total_blue_side_riftHerald,total_red_side_minions_killed,total_red_side_kills,total_red_side_deaths,total_red_side_assists,total_red_side_gold_earned,total_red_side_gold_spent,total_red_side_ward_takedowns,total_red_side_wards_placed,total_red_side_vision_score,total_red_side_towers_taken,total_red_side_inhibitors_destroyed,total_red_side_dragons_killed,total_red_side_horde,total_red_side_baron,total_red_side_riftHerald
0,103,False,True,False,0,0,0,0,2500,2000,0,1,1,0,0,0,0,0,0,0,0,0,0,2500,2500,0,2,0,0,0,0,0,0,0
0,1709,False,False,True,782,25,22,55,58570,49935,29,96,202,7,1,1,0,1,0,909,22,25,48,53733,51225,40,82,218,4,0,3,6,0,1
0,1628,True,False,True,784,36,30,88,61797,53025,27,80,190,8,1,1,3,1,1,733,30,36,56,52915,50900,27,72,173,3,0,3,0,0,0
0,2345,False,False,False,1030,39,57,59,77481,74560,19,104,242,7,1,2,2,1,0,1093,56,39,114,85981,82135,29,78,209,9,2,3,4,0,1
0,1416,False,False,False,640,20,38,37,44508,42420,17,66,132,2,0,0,3,0,0,806,38,21,60,59067,49208,21,59,155,11,3,3,0,1,1
0,1558,False,False,True,757,26,20,54,54215,46583,34,62,181,7,1,2,2,1,1,764,20,26,24,49075,46383,23,63,166,5,0,2,1,0,0
0,1322,True,False,True,607,31,20,41,48568,43685,21,53,136,4,0,3,6,1,1,497,20,31,40,40917,37200,23,60,143,2,0,0,0,0,0
0,1893,False,False,False,769,30,41,51,61340,56550,30,104,230,3,0,1,6,0,1,911,41,30,73,68729,60150,54,69,233,8,1,3,0,1,0
0,937,True,False,True,512,17,7,24,33341,28250,9,29,60,2,0,1,5,0,0,474,7,17,13,26011,23850,8,34,68,0,0,1,0,0,0
0,1390,False,False,False,593,14,38,22,39291,36750,8,40,68,1,0,0,4,0,0,745,38,14,46,57469,51105,16,68,152,9,1,2,2,1,1
