,game_duration,game_ended_in_surrender,game_ended_in_early_surrender,blue_side_won,total_blue_side_minions_killed,total_blue_side_kills,total_blue_side_deaths,total_blue_side_assists,total_blue_side_gold_earned,total_blue_side_gold_spent,total_blue_side_wards_killed,total_blue_side_wards_placed,total_blue_side_vision_score,total_blue_side_towers_taken,total_blue_side_inhibitors_destroyed,total_blue_side_dragons_killed,total_blue_side_horde,total_blue_side_baron,total_blue_side_riftHerald,total_red_side_minions_killed,total_red_side_kills,total_red_side_deaths,total_red_side_assists,total_red_side_gold_earned,total_red_side_gold_spent,total_red_side_ward_takedowns,total_red_side_wards_placed,total_red_side_vision_score,total_red_side_towers_taken,total_red_side_inhibitors_destroyed,total_red_side_dragons_killed,total_red_side_horde,total_red_side_baron,total_red_side_riftHerald
0,1474,False,False,False,698,20,42,18,45435,40800,13,45,108,3,0,0,6,0,0,686,42,20,77,58536,52708,11,61,135,8,1,4,0,1,1
0,1720,False,False,False,918,15,21,21,53513,51300,25,66,173,6,0,1,3,1,1,832,21,15,50,55592,45875,20,67,155,9,2,2,0,0,0
0,1154,True,False,True,674,15,8,24,39118,32900,11,44,103,5,0,1,0,0,0,562,8,15,10,31234,28650,8,39,77,0,0,1,6,0,1
0,1873,False,False,False,899,24,40,50,60231,58483,19,80,166,4,0,0,3,1,1,930,39,24,77,67040,59425,43,73,195,10,2,4,3,1,0
0,1683,False,False,True,967,23,12,58,58724,51470,35,77,205,8,1,1,1,1,1,942,11,23,22,49473,46000,21,95,194,4,0,3,4,0,0
0,912,True,False,True,538,20,8,29,35850,31058,11,38,82,4,0,1,4,0,0,413,8,20,9,25013,22000,5,31,58,0,0,1,2,0,0
0,1967,False,False,True,875,32,35,70,69766,61300,30,103,237,10,2,3,2,1,0,904,35,32,52,65700,60485,29,84,218,6,0,1,4,0,1
0,1475,False,False,True,620,37,26,80,52518,47250,10,60,126,6,1,0,3,0,1,687,26,37,50,49284,46780,15,50,124,2,0,3,0,0,0
0,1540,False,False,False,693,14,31,25,41214,40125,14,52,112,0,0,1,6,0,0,773,31,15,50,59671,54400,19,62,148,11,3,2,0,1,0
0,2140,False,False,False,1088,26,28,27,66827,64950,43,98,237,5,0,2,3,1,1,1154,28,26,42,76203,65555,36,115,291,11,3,3,3,2,0
0,1304,False,False,False,589,18,31,26,40272,36200,11,47,103,1,0,0,3,0,0,743,31,19,38,51469,45525,15,44,122,8,1,3,3,0,1
0,2268,False,False,True,1204,34,22,72,80705,69850,45,139,314,11,4,4,2,2,1,1223,22,34,43,74522,71955,52,115,260,6,1,2,2,1,0
0,1385,False,False,False,606,15,36,20,39648,37800,13,50,106,1,0,0,3,0,0,790,36,15,42,57602,48483,13,44,108,11,2,2,3,1,1
0,1675,True,False,False,803,20,39,29,55028,53375,16,61,133,6,0,1,6,0,1,922,39,20,49,63361,59480,27,61,188,8,1,3,0,1,0
0,2014,True,False,True,1024,42,26,81,73864,66850,38,93,205,9,3,2,3,1,1,1173,26,42,30,69137,65605,34,94,227,4,0,2,3,1,0
0,1867,False,False,True,771,38,32,79,64233,59125,21,76,158,6,1,0,4,1,1,891,31,38,45,62593,60816,28,89,201,7,1,4,2,0,0
0,1387,True,False,False,618,23,33,24,44240,43460,15,47,106,2,0,0,1,1,0,643,33,23,67,50374,44475,22,66,156,7,1,3,2,0,1
0,1413,True,False,False,600,16,37,25,41185,39133,11,52,116,2,0,0,5,0,0,681,37,16,62,52201,50665,15,54,126,5,0,3,1,0,1
0,1599,False,False,False,864,16,36,21,50563,46850,19,61,163,3,0,0,4,0,1,879,36,16,65,62676,55300,25,71,196,10,1,3,2,1,0
0,1521,False,False,False,725,18,25,29,46183,44075,25,47,122,4,0,1,0,0,0,846,25,18,36,57239,52616,23,72,165,11,2,3,6,1,1
0,1857,False,False,False,886,28,43,50,59169,56625,48,87,221,3,0,0,0,0,0,1047,43,28,74,77566,66975,47,111,278,10,2,4,6,2,1
0,1306,True,False,True,691,27,10,33,47501,45825,15,49,120,7,0,2,5,0,1,529,10,27,25,34034,29650,11,60,119,0,0,1,1,0,0
0,1826,False,False,False,890,20,19,49,56898,52600,31,73,195,5,0,1,4,1,1,955,19,21,34,60216,52558,28,76,200,8,1,4,2,1,0
0,1855,False,False,False,914,30,42,52,62037,57250,33,68,171,3,0,3,0,0,1,896,42,30,60,69888,64400,19,88,197,10,1,1,6,2,0
0,1714,False,False,True,853,39,32,61,67112,60960,23,69,167,11,3,2,4,2,1,780,32,39,46,58154,55835,28,64,162,2,0,2,2,0,0
0,1687,False,False,False,798,20,27,31,49127,48058,26,70,167,2,0,0,0,0,0,906,27,20,48,60957,50025,28,81,219,10,1,4,3,1,0
0,1645,False,False,True,954,28,10,50,60654,55575,26,78,204,9,1,2,2,1,1,928,10,29,16,47906,44525,30,69,169,2,0,1,4,0,0
0,1768,True,False,False,889,19,25,35,53955,51783,24,89,191,3,0,0,3,0,1,884,25,19,54,61499,54908,42,75,218,7,1,4,0,2,0
0,1013,True,False,True,568,18,6,17,34919,28950,14,48,107,2,0,2,3,0,1,558,6,18,8,30619,28380,14,42,89,1,0,0,3,0,0
0,1363,False,False,False,689,13,27,14,39538,37725,19,56,140,2,0,1,6,0,0,742,27,13,37,50506,44525,16,56,129,7,1,2,0,1,0
0,1869,False,False,True,885,32,37,83,71589,64650,40,79,187,8,1,1,6,1,1,962,37,32,65,67190,66360,31,91,218,7,1,3,0,1,0
0,1493,False,False,True,809,24,12,43,54334,49300,22,60,136,10,2,1,5,1,1,754,11,24,14,41596,38308,18,75,174,2,0,2,0,0,0
0,1486,True,False,True,775,26,16,32,49875,43025,32,60,170,5,1,4,0,1,0,740,16,26,20,46012,42825,16,68,140,4,0,0,3,0,1
0,1424,False,False,True,755,26,14,47,50482,45333,21,75,167,7,1,1,0,1,0,764,14,26,16,41185,38925,33,50,137,2,0,2,6,0,1
0,1889,True,False,False,920,44,38,81,72648,68275,43,77,214,7,1,3,6,1,0,1011,38,45,57,69233,62600,29,78,203,5,1,2,0,0,1
0,1686,False,False,True,961,27,14,42,59036,49850,25,63,171,8,1,2,3,1,0,877,14,27,21,48816,47450,21,71,168,4,0,1,1,0,1
0,1691,False,False,True,776,44,34,72,67518,60975,17,76,189,10,2,0,3,1,1,807,34,44,65,58157,55300,28,47,143,2,0,3,0,0,0
0,1797,False,False,False,879,27,31,51,62093,57608,27,70,178,8,2,1,1,1,1,892,31,27,62,63459,57980,25,94,217,10,2,3,4,1,0
0,1653,True,False,True,803,31,20,85,58662,51705,26,67,173,6,1,1,6,1,0,729,20,31,34,49649,48325,23,80,160,2,0,3,0,0,0
0,1659,False,False,False,799,27,40,46,52074,48885,28,61,139,1,0,0,6,0,0,929,40,27,53,66342,59758,26,84,184,10,2,4,0,1,1
0,1633,False,False,True,809,36,19,44,60780,53535,28,46,130,11,3,3,5,1,1,709,19,37,27,47284,47215,18,82,170,0,0,0,1,0,0
0,918,True,False,False,420,4,22,1,22789,21625,7,32,72,0,0,0,1,0,0,432,22,4,28,31729,28025,7,35,66,3,0,1,2,0,0
0,1719,False,False,True,858,26,17,52,58053,50000,26,92,217,8,1,2,6,1,1,881,17,26,30,51340,49745,27,57,155,4,0,2,0,0,0
0,2012,True,False,False,1019,29,42,61,68788,68345,35,131,282,7,0,1,3,1,0,956,42,29,92,72072,66120,46,98,238,6,1,4,3,1,1
0,1540,False,False,True,814,37,21,49,58961,52768,21,57,133,10,2,1,5,1,1,803,21,37,31,51168,48750,17,71,150,4,0,2,1,0,0
0,1287,False,False,False,525,21,33,25,39179,35825,17,41,82,2,0,0,3,0,1,632,33,21,41,51162,42225,19,71,146,8,1,3,3,0,0
0,1657,False,False,False,708,28,41,46,51302,49458,36,63,159,2,0,0,1,0,0,767,41,28,75,65437,57270,37,88,232,10,1,4,3,1,1
0,1370,False,False,True,744,28,16,41,52388,45425,16,55,136,8,1,1,6,1,1,648,15,28,21,40976,38700,9,55,109,1,0,1,0,0,0
0,841,False,False,True,438,24,5,30,33180,25250,4,26,51,7,1,0,1,0,0,322,5,24,6,21250,20600,4,22,43,0,0,1,0,0,0
0,1987,True,False,False,1028,30,45,19,64287,63008,36,110,271,5,0,1,3,0,1,905,45,30,80,74161,69475,41,95,229,9,1,3,0,2,0
0,1616,False,False,False,768,31,41,34,55614,53840,25,75,171,4,0,0,3,0,1,772,41,31,62,62282,57350,18,67,133,10,2,3,0,1,0
0,1377,True,False,False,734,9,22,13,38217,35760,25,67,141,0,0,1,6,0,0,820,22,9,33,48712,42205,25,69,161,4,0,2,0,0,1
0,1763,False,False,True,872,28,21,44,65350,58450,33,110,234,10,2,2,6,2,1,907,21,28,39,54587,52450,42,61,167,3,0,2,0,0,0
0,2096,False,False,True,950,34,35,68,71950,64375,27,89,212,8,1,4,3,1,1,916,35,35,53,68992,63855,32,68,202,6,0,2,0,1,0
0,1560,False,False,True,837,39,23,47,63565,54800,25,52,155,11,3,2,5,1,1,707,23,39,27,46507,43850,15,61,146,1,0,1,1,0,0
0,1818,False,False,False,851,22,35,30,57331,54258,39,96,209,4,0,2,1,1,1,955,35,22,65,68004,60600,29,95,207,9,1,2,5,1,0
0,1433,False,False,False,735,13,28,16,43357,42008,30,86,162,1,0,0,6,0,0,772,28,13,35,55056,48505,38,74,161,11,3,2,0,1,1
0,1980,False,False,False,940,23,24,34,61729,57950,21,72,152,8,2,1,3,0,1,1011,24,23,40,66943,60633,22,84,198,9,1,3,3,2,0
0,979,True,False,False,453,9,23,7,26357,24350,10,37,79,0,0,0,2,0,0,508,23,9,21,35720,32125,11,42,89,3,0,1,4,0,1
0,1685,False,False,False,822,18,35,23,49058,46685,37,94,196,2,0,0,0,0,0,838,35,18,68,62208,54825,50,93,230,9,1,4,6,1,0
0,1821,False,False,False,887,36,29,59,62545,60362,51,105,254,6,0,2,3,0,0,902,29,36,49,63981,52550,56,102,228,10,1,3,3,1,1
0,1997,False,False,True,938,41,28,78,70850,65025,33,84,246,9,2,3,3,1,1,948,28,41,47,66310,63050,36,74,181,2,0,1,0,1,0
0,1533,True,False,True,832,28,13,39,53837,49575,20,58,153,3,0,2,2,1,0,850,13,28,20,46980,44100,16,61,137,4,0,1,4,0,1
0,1156,True,False,False,612,2,20,1,29842,28385,8,38,87,1,0,0,4,0,0,637,20,2,33,40384,37458,7,47,107,6,0,2,2,0,1
0,1153,True,False,False,580,9,27,13,33434,29975,22,44,96,0,0,0,3,0,1,665,27,9,28,43427,42163,21,56,139,5,0,3,0,0,0
0,1648,False,False,False,688,24,37,43,50489,48250,17,55,141,3,0,0,6,0,0,823,37,24,67,61081,57375,22,70,172,10,2,3,0,1,1
0,1437,False,False,False,734,12,22,18,41243,40008,21,55,133,1,0,1,2,0,1,813,22,12,34,51163,41025,15,62,142,8,1,1,4,1,0
0,1620,True,False,False,795,24,45,35,54124,48825,9,48,118,4,0,2,2,0,0,781,45,24,56,62186,57458,16,47,122,7,1,2,1,1,1
0,1802,False,False,False,961,22,34,26,57862,53700,19,67,173,3,0,1,6,1,0,962,34,22,61,67714,63075,28,71,170,9,1,3,0,1,1
0,1373,False,False,True,755,35,14,35,54659,48587,23,70,163,9,2,2,6,1,1,599,14,35,21,37904,36475,21,53,99,1,0,1,0,0,0
0,1201,True,False,False,583,10,21,9,33710,29950,17,56,113,1,0,0,6,0,0,711,21,10,25,43499,40500,15,55,126,7,0,2,0,0,1
0,2001,False,False,False,1002,28,34,52,63158,59723,23,107,217,3,0,1,3,0,0,1054,34,29,53,73611,70663,43,102,280,10,3,4,0,2,1
0,1634,True,False,False,669,17,32,33,46209,43258,13,64,144,3,0,0,3,0,0,809,32,17,69,58426,51875,24,55,150,7,0,4,3,1,0
0,1719,False,False,True,769,26,30,49,57443,56580,14,64,157,9,2,3,3,0,0,775,30,26,57,57999,51830,21,66,177,4,0,0,0,1,1
0,1750,True,False,True,856,44,38,65,66756,62300,43,80,238,7,1,2,3,1,1,751,38,44,71,60957,58150,22,78,146,5,0,1,3,0,0
0,1258,True,False,False,597,9,24,7,34061,32550,10,43,83,1,0,1,6,0,0,729,24,9,24,46336,42600,14,48,118,6,0,2,0,0,1
0,1551,True,False,True,784,22,15,41,50984,47750,19,56,136,4,0,1,5,1,1,722,15,22,20,43208,41375,24,50,141,2,0,2,1,0,0
0,1595,False,False,False,798,10,27,14,44209,42875,25,57,135,1,0,0,4,0,0,885,27,10,40,56840,49525,33,73,201,9,1,4,2,0,1
0,1653,False,False,True,885,25,13,55,59349,50925,32,75,182,10,2,2,4,1,1,882,13,25,17,46446,44195,21,76,172,1,0,2,2,0,0
0,1358,False,False,True,714,36,14,49,55103,49040,16,56,150,10,2,1,6,1,1,677,14,36,15,41435,39375,13,44,92,3,0,2,0,0,0
0,1653,False,False,False,844,23,24,43,54163,51375,26,69,177,6,0,2,3,1,1,908,24,23,46,58903,50658,29,86,205,8,1,2,3,0,0
0,1672,False,False,False,818,22,48,32,55832,53965,26,71,140,4,0,2,3,0,1,865,48,22,87,69167,64500,21,77,191,10,2,2,3,2,0
0,1250,True,False,False,576,18,31,29,37097,33700,16,40,100,1,0,0,1,0,0,646,31,18,56,47813,42058,16,46,112,7,1,3,0,0,1
0,1483,False,False,False,690,27,39,41,48978,45950,17,62,144,2,0,1,0,0,0,802,39,27,46,62389,56610,18,54,127,10,2,2,6,1,1
0,1507,True,False,True,809,40,23,49,61363,55985,26,44,152,10,2,4,5,1,1,753,22,40,35,50218,48487,13,72,135,3,0,0,1,0,0
0,1725,True,False,True,872,35,20,69,63904,58198,26,69,171,11,3,1,3,1,1,897,20,35,22,52443,50810,27,70,173,3,0,2,3,0,0
0,932,True,False,False,444,3,18,4,23270,20900,9,33,60,0,0,0,1,0,0,531,18,3,19,32958,31425,11,31,70,3,0,2,2,0,1
0,2139,False,False,True,1208,38,34,55,78652,73635,66,122,241,10,2,3,0,0,1,1218,34,38,46,79454,76483,75,138,344,6,0,2,6,2,0
0,1930,False,False,False,994,28,33,36,64275,62633,35,57,173,10,2,4,1,1,1,961,33,29,59,68378,60375,25,97,187,6,1,1,5,1,0
0,2393,False,False,False,1159,35,57,64,77988,78020,52,97,239,4,0,1,0,0,0,1077,57,35,105,87270,83695,48,113,340,9,1,5,3,1,1
0,1366,False,False,True,711,32,16,56,54944,45658,26,61,164,10,2,1,4,1,1,653,16,32,21,40750,37135,14,47,95,3,0,2,2,0,0
0,2221,False,False,False,1161,24,30,61,69549,65455,45,126,277,3,0,1,6,0,0,1214,30,25,63,80369,72375,54,115,313,11,4,5,0,2,1
0,1794,False,False,True,854,41,21,70,64741,57650,22,74,197,9,1,4,3,1,0,879,21,41,34,54990,53358,25,68,178,3,0,0,3,0,1
0,1670,False,False,False,785,23,34,34,51881,50275,44,79,220,2,0,0,6,1,0,895,34,23,60,60422,52250,27,88,183,9,1,3,0,0,1
0,1802,False,False,False,855,17,31,33,56950,55133,35,92,198,4,0,0,3,0,0,931,31,17,46,66125,65380,44,75,195,11,3,4,0,2,1
0,2137,False,False,True,1080,30,30,56,72333,68433,37,109,241,8,1,2,6,1,0,1086,30,30,36,69482,69760,31,100,240,6,0,3,0,1,0
0,1708,False,False,False,779,19,38,27,51880,50110,22,69,152,4,0,0,3,0,1,812,38,19,78,61238,53600,20,74,184,9,1,4,3,1,0
0,2215,False,False,True,1014,45,36,76,80789,74655,41,91,260,9,1,3,3,1,1,881,36,45,62,65472,62608,30,88,226,2,0,2,0,0,0
0,1763,True,False,False,931,21,35,37,56479,54591,42,75,183,3,0,0,5,0,0,888,34,21,66,63976,57200,34,104,254,10,3,4,1,1,1
0,1355,False,False,True,731,33,18,44,56374,48425,18,61,136,10,1,1,6,1,1,620,18,33,25,40198,39593,16,54,111,0,0,1,0,0,0
0,2202,False,False,False,1077,33,43,49,77114,76160,59,128,302,6,1,2,3,0,1,1054,43,33,68,79533,73050,56,121,306,11,4,4,3,2,0
0,1123,True,False,False,610,7,18,15,32600,29600,10,34,74,2,0,0,1,0,0,624,18,7,21,38397,31595,19,42,115,4,0,3,3,0,1
0,914,True,False,True,497,21,5,29,34471,29000,5,32,56,4,0,1,6,0,0,389,5,21,10,23246,20150,4,29,64,0,0,1,0,0,0
0,1492,False,False,True,746,28,18,58,51705,41800,23,57,155,7,1,3,6,0,1,667,18,28,37,43733,41850,21,58,156,2,0,0,0,0,0
0,1335,True,False,False,658,11,21,19,38707,36300,11,60,103,2,0,1,0,0,1,769,21,11,42,47818,43758,25,44,144,6,0,1,3,1,0
0,1243,False,False,True,691,34,9,57,51488,45925,11,39,94,9,1,3,6,0,1,632,9,34,15,36739,34750,9,37,83,1,0,0,0,0,0
0,1832,False,False,False,768,37,39,69,64918,61075,22,62,184,6,1,1,6,1,1,889,39,37,75,66403,59480,24,63,162,9,1,3,0,0,0
0,1644,False,False,True,789,28,27,44,57188,52738,14,68,139,8,1,3,3,1,1,787,27,28,45,53538,49875,16,52,134,3,0,0,3,0,0
0,1406,True,False,False,685,16,32,26,45324,42975,18,60,141,3,0,1,2,0,1,739,32,16,57,49899,44480,19,50,139,3,0,2,4,0,0
0,1857,False,False,True,923,43,23,71,75045,69410,28,83,199,11,3,2,6,2,1,904,23,43,34,58453,57655,32,84,194,5,0,3,0,0,0
0,1366,False,False,True,678,34,20,58,54538,48750,13,56,130,8,1,3,3,1,1,570,20,34,29,42420,40075,20,51,124,1,0,0,3,0,0
0,1346,False,False,False,647,12,26,22,38048,37055,20,57,128,1,0,1,2,0,0,750,26,12,42,49642,44450,18,58,143,7,1,2,1,1,1
0,1243,True,False,False,558,18,26,32,37012,35025,23,45,126,0,0,1,5,0,1,598,26,18,45,42245,36275,15,64,138,4,0,2,1,0,0
0,999,True,False,False,468,8,21,7,28427,26725,10,32,85,2,0,0,3,0,0,565,21,8,26,35857,26225,4,34,63,3,0,2,1,0,0
0,1351,False,False,False,659,9,23,11,37839,36683,12,42,105,2,0,0,6,0,1,770,23,9,38,51029,46108,10,49,118,9,1,2,0,1,0
0,1359,True,False,False,676,8,24,9,35691,31650,12,43,101,0,0,1,3,0,0,753,24,8,32,50595,48385,15,44,100,7,2,2,3,1,1
0,1652,False,False,True,822,40,25,64,63672,56300,35,54,149,9,1,2,2,1,1,795,25,40,30,55969,52788,22,92,191,5,0,2,3,0,0
0,1744,False,False,False,802,22,31,28,55290,52833,18,78,164,5,0,1,2,0,0,891,30,22,53,62485,55750,27,59,152,10,2,3,1,1,1
0,1614,False,False,True,817,30,14,50,58930,50000,29,74,161,11,3,3,3,1,1,873,14,30,24,49266,47525,31,85,175,4,0,1,3,0,0
0,1679,False,False,True,743,37,18,66,59870,53955,15,68,172,7,1,3,2,1,1,871,18,37,29,52595,51475,18,54,142,3,0,1,3,0,0
0,1523,False,False,True,881,28,13,51,57860,51050,21,64,164,9,2,3,3,1,1,720,13,28,10,41785,39675,9,56,104,2,0,0,1,0,0
0,1986,False,False,True,1096,35,24,54,73192,67725,38,87,259,10,3,4,3,2,1,985,24,35,37,61054,60578,33,90,211,1,0,1,3,0,0
0,1763,False,False,True,849,37,19,51,64830,58595,18,71,158,11,2,3,5,1,1,842,19,37,17,51604,49203,25,69,164,2,0,1,1,0,0
0,1866,False,False,True,954,36,34,60,69658,62025,27,71,210,8,1,0,3,2,1,933,34,36,54,62909,59808,26,95,225,5,0,4,3,0,0
0,1155,True,False,False,559,11,26,18,33833,32050,7,45,78,1,0,2,0,0,1,608,26,11,33,42677,37988,15,41,111,6,0,1,6,0,0
0,967,True,False,False,479,3,16,2,23668,21410,6,24,40,0,0,0,0,0,0,624,16,3,14,34126,29633,11,26,70,3,0,2,3,0,1
0,1307,True,False,False,644,8,42,8,37917,34533,16,41,99,3,0,0,1,0,0,714,42,8,45,53857,49660,13,58,128,8,1,3,5,1,1
0,119,False,True,True,12,0,0,0,2860,2450,0,1,0,0,0,0,0,0,0,9,0,0,0,2823,1950,0,1,1,0,0,0,0,0,0
0,1902,False,False,False,860,31,41,49,60901,59335,42,97,277,4,0,1,1,0,1,965,41,31,72,72553,62585,37,92,248,9,1,3,0,1,0
0,1639,False,False,False,799,18,27,38,47495,45850,23,62,151,1,0,0,3,0,0,920,27,18,54,60277,51833,23,69,170,10,2,4,1,1,1
0,1427,False,False,True,833,20,10,23,53248,43762,22,48,141,11,3,3,6,1,1,735,10,20,21,38673,37360,16,43,101,0,0,0,0,0,0
0,1864,False,False,True,1077,36,35,49,72030,66600,45,84,223,10,2,3,0,1,1,832,35,36,57,62989,59725,35,100,227,3,0,1,3,1,0
0,1870,False,False,False,897,25,38,39,58840,56238,24,79,169,5,0,2,3,0,1,958,38,25,65,71700,65518,35,87,242,11,2,3,3,1,0
0,1810,True,False,True,929,36,15,62,66402,62155,53,79,209,11,3,2,3,1,1,967,14,36,31,56490,53250,34,109,212,3,0,2,3,0,0
0,1642,False,False,False,714,27,31,43,50012,45500,20,75,152,0,0,3,0,0,1,954,31,27,53,63887,59762,26,69,169,11,2,1,6,1,0
0,1575,False,False,False,665,42,42,53,53882,52200,21,78,177,4,0,1,6,0,0,699,42,43,70,62037,54500,26,64,163,9,1,1,0,1,1
0,930,True,False,True,515,21,11,24,34685,29841,7,32,71,3,0,1,4,0,0,488,11,21,11,28828,25033,7,32,70,1,0,0,2,0,0
0,1423,False,False,True,735,38,16,72,56687,48135,20,65,161,11,2,1,2,1,0,655,16,39,18,42323,39600,14,58,126,4,0,2,1,0,0
0,2256,False,False,True,1154,37,36,76,82308,73475,58,115,316,11,3,2,3,2,1,1141,36,37,69,78233,70900,37,136,268,5,0,4,3,1,0
0,1866,False,False,True,1008,28,12,52,65987,61115,29,93,227,11,3,4,6,2,1,942,12,28,26,53530,53183,30,64,138,1,0,1,0,0,0
0,1479,False,False,True,776,37,11,54,56323,49900,17,46,135,9,1,4,3,0,1,690,11,37,18,39201,36908,11,52,90,1,0,0,3,0,0
0,1752,True,False,True,934,31,16,64,63154,55100,27,77,187,7,1,2,3,2,1,975,16,31,26,53651,51863,24,67,168,3,0,3,3,0,0
0,1855,False,False,True,946,40,22,77,67864,61105,38,101,246,10,1,4,0,1,0,842,22,40,35,55187,53025,29,87,164,2,0,0,6,0,1
0,1888,False,False,True,927,44,28,66,69570,62800,38,81,202,9,1,3,0,1,1,1006,28,44,45,68012,63125,28,103,225,8,2,2,3,1,0
0,1600,False,False,False,728,18,36,27,45432,43590,20,71,173,0,0,2,3,0,1,844,36,18,60,60658,51360,21,69,164,9,1,2,3,1,0
0,947,True,False,False,451,21,23,29,32752,30200,2,33,53,1,0,0,0,0,0,497,23,21,29,36140,30850,5,34,62,2,0,1,6,0,0
0,1341,False,False,False,589,14,31,21,37633,35483,13,53,99,0,0,0,3,0,1,683,31,14,53,54353,47825,21,52,126,11,3,2,3,1,0
0,1272,True,False,False,596,16,24,33,38403,36500,15,60,120,3,0,0,2,0,0,636,24,16,41,44141,37058,16,54,118,5,1,2,4,0,1
0,1722,False,False,False,767,33,30,54,53830,50575,29,71,174,2,0,0,2,0,0,815,30,33,42,59175,51850,25,64,188,7,1,4,4,1,0
0,1705,False,False,True,967,25,9,27,60636,54658,26,90,204,11,4,4,5,2,1,923,9,25,11,49736,47075,29,59,128,3,0,0,1,0,0
0,1791,False,False,False,914,27,35,34,58877,56025,25,80,181,5,0,2,3,0,1,929,35,27,66,64374,58500,34,84,211,8,1,2,3,1,0
0,1605,True,False,True,847,34,16,54,57613,53062,18,58,139,9,3,3,0,1,1,768,16,34,22,46470,42650,22,63,148,1,0,1,3,0,0
0,1451,True,False,True,807,31,13,51,54736,53275,15,49,126,6,0,3,3,1,1,734,13,31,14,42920,40955,9,58,111,3,0,0,3,0,0
0,1815,False,False,True,876,38,20,68,68325,60535,29,86,205,11,3,1,2,2,1,810,20,38,26,53412,51425,24,79,171,3,0,2,1,0,0
0,2025,False,False,False,881,41,62,45,70367,66065,24,72,203,5,0,1,5,0,1,925,62,41,103,80484,75600,22,84,193,9,2,4,1,2,0
0,1924,False,False,True,913,40,39,74,73194,67665,9,71,143,11,3,4,6,1,0,1001,39,40,41,67829,66360,30,59,235,5,0,1,0,0,1
0,1364,False,False,False,620,21,44,36,43986,44738,10,47,96,1,0,0,3,0,1,667,44,21,80,62006,58125,10,51,121,11,2,2,0,1,0
0,1405,False,False,False,738,15,27,23,44154,40993,15,46,104,4,0,0,6,0,1,754,27,15,38,51903,43625,10,57,115,7,1,4,0,1,0
0,953,True,False,False,400,22,33,20,32257,31050,5,27,61,1,0,1,3,0,0,463,33,22,43,37412,31095,9,35,75,2,0,0,3,0,1
0,1253,True,False,False,573,15,25,22,36558,34108,14,61,128,1,0,0,5,0,0,703,25,15,40,48128,40308,25,51,126,5,0,3,1,1,1
0,1139,True,False,True,568,30,10,48,43365,39275,15,55,134,5,0,2,0,0,1,582,10,30,8,33162,31385,12,41,86,0,0,0,3,0,0
0,1787,False,False,True,866,25,10,44,60098,54975,33,100,245,8,1,3,1,2,1,909,10,25,13,50994,48230,23,81,166,4,0,1,5,0,0
0,1815,False,False,True,983,37,23,78,67432,61660,35,75,182,9,1,0,3,1,1,845,23,37,49,57381,55768,24,89,167,2,0,4,3,1,0
0,1521,True,False,True,832,34,22,53,59039,53325,23,70,171,10,2,0,6,1,0,820,22,34,32,52350,50350,38,70,180,3,0,3,0,0,1
0,1661,False,False,True,935,34,22,39,61870,54700,23,57,147,9,1,4,0,1,1,766,22,34,31,51230,47825,20,60,146,3,0,0,6,0,0
0,1454,True,False,False,646,21,36,30,46376,44500,16,65,125,2,0,1,0,0,0,720,36,21,49,54845,47983,28,78,166,5,0,2,6,1,1
0,1741,False,False,True,946,37,17,50,64507,59525,27,72,170,8,1,1,6,1,1,918,17,37,24,54991,51630,29,59,167,5,0,2,0,0,0
0,1591,False,False,True,799,29,26,52,61544,54575,13,66,152,8,1,1,6,1,0,879,26,29,37,55877,53425,19,65,162,7,1,3,0,0,1
0,1282,True,False,True,710,36,14,40,51202,48825,10,50,119,6,0,1,3,0,1,640,14,36,11,41076,38525,11,45,102,3,0,2,0,0,0
0,1854,False,False,False,969,17,30,31,56100,55865,37,74,170,4,0,1,5,0,1,999,30,17,65,69489,65050,32,100,226,11,3,3,1,2,0
0,1208,True,False,False,574,11,12,21,33249,29633,12,59,109,1,0,1,0,0,0,624,12,11,21,35989,30725,13,39,106,3,0,1,1,0,1
0,1746,False,False,False,787,30,34,28,56020,53725,12,77,152,5,0,3,1,0,1,800,34,30,72,61234,55100,20,53,138,7,1,1,2,1,0
0,1722,False,False,False,868,21,25,39,56359,53708,24,62,165,6,0,2,3,0,1,910,25,21,52,60412,55245,17,79,159,7,1,1,0,2,0
0,1583,False,False,False,846,19,29,23,51876,48850,22,67,148,4,0,0,1,0,1,939,29,19,44,61257,57000,27,74,201,11,3,3,5,1,0
0,1801,False,False,True,1046,34,22,56,68966,63825,26,68,178,9,1,1,1,2,1,1030,22,34,27,59067,55710,20,73,178,4,0,3,5,0,0
0,1275,False,False,False,603,19,26,22,38592,34750,6,20,48,1,0,1,0,0,1,694,26,19,41,48966,39600,7,47,98,10,2,2,6,0,0
0,2221,False,False,True,1136,33,24,64,79524,73175,50,90,231,9,1,3,2,2,1,1223,24,33,36,73873,71283,42,113,281,8,2,2,1,1,0
0,1472,False,False,False,727,19,40,17,46989,43775,14,44,118,4,0,1,0,0,0,708,40,20,57,56004,49650,10,59,131,9,1,1,6,1,1
0,1601,False,False,False,745,24,42,33,52864,50075,24,68,156,3,0,0,3,0,0,823,42,25,56,63313,58350,20,73,179,7,1,4,3,1,0
0,921,True,False,True,462,22,6,26,34187,28125,11,31,71,4,0,1,2,0,0,428,6,22,4,24578,22862,3,39,71,1,0,0,1,0,0
0,1455,False,False,True,800,28,14,39,53785,46700,31,69,164,9,1,3,3,1,1,722,14,28,17,42336,39875,26,68,139,2,0,0,0,0,0
