,total_blue_side_minions,total_blue_side_gold_earned,total_blue_side_wards_placed,total_blue_side_kills,total_blue_side_deaths,total_blue_side_dragons_killed,total_blue_side_riftHeralds_killed,total_towers_destroyed_by_blue,total_inhibitors_destroyed_by_blue,total_red_side_minions,total_red_side_gold_earned,total_red_side_kills,total_red_side_deaths,total_red_side_wards_placed,total_red_side_dragons_killed,total_red_side_riftHeralds_killed,total_towers_destroyed_by_red,total_inhibitors_destroyed_by_red,blue_side_won
0,521,37672,42,14,7,2,1,2,0,503,32544,7,14,45,1,0,5,0,1
0,440,35195,37,19,11,2,1,1,0,494,33443,11,19,36,0,0,3,0,1
0,399,31904,29,11,14,0,1,1,0,423,35272,14,11,32,2,1,3,0,0
0,454,37658,24,18,11,2,0,2,0,435,32977,11,18,245,0,1,4,0,1
0,443,35238,31,20,18,0,1,0,0,452,34192,18,20,32,3,1,2,0,1
0,402,35194,100,19,14,1,0,1,0,364,31201,14,19,25,1,1,3,0,0
0,476,38485,198,19,15,3,1,2,0,474,34980,15,19,40,0,0,1,0,1
0,468,36010,27,18,11,2,0,2,0,456,33442,11,18,32,1,1,2,0,0
0,478,39943,40,22,16,1,1,4,0,434,32345,16,22,298,1,0,1,0,1
0,418,33742,23,15,19,0,1,1,0,453,37526,19,15,59,2,0,5,0,0
0,417,43353,40,27,17,1,1,6,0,365,34086,17,27,39,1,0,2,0,1
0,499,31228,41,9,12,1,1,0,0,518,36505,12,9,39,1,0,3,0,0
0,443,42779,31,23,15,2,1,5,1,399,32012,15,23,24,0,0,3,0,1
0,441,35128,36,10,12,2,0,4,0,477,34508,12,10,53,0,1,4,0,1
0,451,41961,40,27,21,2,1,2,0,452,37739,21,27,33,0,0,1,0,1
0,441,34326,36,20,17,0,0,0,0,489,41216,17,20,39,2,1,5,0,0
0,385,30239,41,11,24,0,0,0,0,484,40940,24,11,36,2,1,5,0,0
0,466,40597,37,23,12,0,1,4,0,421,33055,12,23,36,2,0,1,0,0
0,367,35384,197,17,14,0,1,2,0,373,33466,14,17,54,3,0,3,0,0
0,372,36433,38,14,22,1,1,3,0,366,36782,22,14,33,1,0,4,0,0
0,445,30017,24,5,15,0,0,1,0,460,34282,15,5,44,2,1,3,0,0
0,445,37740,33,19,6,0,1,3,0,409,28697,6,19,32,2,0,2,0,1
0,411,37295,28,26,20,2,0,1,0,462,37689,20,26,39,0,1,5,0,1
0,359,33468,35,16,18,1,0,2,0,449,35691,18,16,26,1,2,3,0,0
0,430,39987,29,25,24,1,0,2,0,358,40111,24,25,26,1,2,5,0,1
0,322,28856,27,10,33,0,0,0,0,407,43345,33,10,24,2,1,8,1,0
0,429,33425,52,12,20,2,0,3,0,485,37994,20,12,69,0,1,2,0,0
0,427,35617,85,17,11,3,0,1,0,406,30478,11,17,361,0,1,3,0,1
0,430,34224,29,12,24,0,0,1,0,476,42590,24,12,40,2,1,6,0,0
0,418,34551,92,18,12,1,0,1,0,428,32667,12,18,35,1,1,1,0,0
0,412,34379,33,14,13,2,1,3,1,434,33744,13,14,31,0,0,2,0,1
0,474,33471,40,10,16,0,1,1,0,458,34390,16,10,47,2,0,3,0,0
0,417,38462,56,23,10,2,0,3,0,390,30757,10,23,32,1,0,1,0,1
0,434,34380,89,13,16,1,1,2,0,423,32476,16,13,39,2,0,2,0,1
0,438,42595,65,27,10,2,1,6,1,397,30730,10,27,43,0,0,1,0,1
0,472,31269,42,10,19,0,0,0,0,498,39648,19,10,43,1,1,5,0,0
0,446,35896,56,13,25,0,0,1,0,474,39437,25,13,44,3,1,3,0,0
0,400,31437,64,14,16,0,0,1,0,366,37324,16,14,302,2,1,5,0,0
