,total_blue_side_minions,total_blue_side_gold_earned,total_blue_side_wards_placed,total_blue_side_kills,total_blue_side_deaths,total_blue_side_dragons_killed,total_blue_side_riftHeralds_killed,total_towers_destroyed_by_blue,total_inhibitors_destroyed_by_blue,total_red_side_minions,total_red_side_gold_earned,total_red_side_kills,total_red_side_deaths,total_red_side_wards_placed,total_red_side_dragons_killed,total_red_side_riftHeralds_killed,total_towers_destroyed_by_red,total_inhibitors_destroyed_by_red,blue_side_won
0,438,40568,49,24,15,1,0,2,0,464,35413,15,24,42,1,0,3,0,1
0,458,37583,38,18,21,1,1,1,0,453,40030,21,18,45,1,0,5,0,1
0,415,32877,100,13,11,0,0,1,0,499,34503,11,13,39,2,1,4,0,0
0,522,36301,40,12,16,0,1,2,0,479,37569,16,12,43,2,0,3,0,0
0,451,34203,58,9,15,2,1,4,0,449,35070,15,9,134,0,0,2,0,0
0,496,34083,38,11,28,1,0,0,0,493,39876,28,11,99,1,1,2,0,0
0,529,39014,44,20,12,2,1,1,0,494,32787,12,20,38,0,0,2,0,0
0,451,37556,46,15,29,0,0,1,0,508,45791,29,15,46,2,1,6,0,0
0,438,35936,48,19,15,2,1,2,0,474,36483,15,19,36,0,0,3,0,1
0,448,41624,42,22,11,3,1,5,0,498,33774,11,22,31,0,0,3,0,1
0,504,37006,52,13,25,0,1,2,0,455,40540,25,13,49,2,0,3,0,0
0,479,33267,33,10,20,1,0,2,0,492,39649,20,10,40,2,1,4,0,0
0,522,37029,44,10,5,1,1,3,0,472,29484,5,10,33,2,0,1,0,1
0,463,33182,43,12,11,2,0,0,0,468,33140,11,12,38,0,1,2,0,0
0,452,36657,37,11,13,1,1,2,0,504,34989,13,11,39,0,0,3,0,1
0,440,34073,70,10,25,0,1,0,0,449,38556,25,10,39,2,0,4,0,0
0,470,39787,26,20,21,1,1,5,0,464,38555,21,20,63,1,0,2,0,0
0,531,36800,43,13,13,1,1,2,0,506,34601,13,13,44,1,0,1,0,0
0,501,30825,34,5,10,1,1,1,0,506,33842,10,5,44,2,0,4,0,0
0,441,43655,58,32,15,2,1,3,0,449,35000,15,32,52,0,0,0,0,1
0,477,40142,50,23,17,2,1,4,0,465,35559,17,23,37,1,0,2,0,1
0,507,34864,40,9,18,1,1,2,0,456,36237,18,9,41,1,0,2,0,0
0,514,32983,46,7,10,1,0,2,0,476,31754,10,7,35,1,1,2,0,0
0,435,36390,63,15,13,1,1,3,0,440,34061,13,15,47,2,0,2,0,0
0,511,32177,44,6,13,0,1,2,0,551,36486,13,6,48,2,0,3,0,0
0,481,41358,43,23,12,2,1,4,0,453,34414,12,23,41,0,0,2,0,1
0,506,40401,38,19,15,1,1,3,0,503,35994,15,19,72,1,0,1,0,1
0,511,42875,44,26,10,1,0,3,0,469,34430,10,26,42,2,0,2,0,1
0,506,44716,36,30,12,2,0,1,0,452,33367,12,30,37,1,0,4,0,1
0,488,36368,47,13,14,2,1,2,0,468,35007,14,13,88,1,0,2,0,0
0,495,32936,37,10,13,0,1,0,0,523,37452,13,10,48,3,0,4,0,0
0,507,32788,56,6,17,0,0,2,0,511,36443,17,6,47,3,1,3,0,0
0,493,36388,49,18,21,0,0,1,0,487,38916,21,18,51,1,0,3,0,0
0,508,39432,39,16,17,1,1,4,0,477,36070,17,16,37,1,0,3,0,1
0,388,29887,141,9,33,0,0,0,0,466,44379,33,9,42,2,1,6,0,0
0,431,36923,78,17,28,0,0,2,0,480,42584,28,17,39,2,1,4,0,0
0,461,39342,44,19,14,0,1,2,0,477,35890,14,19,42,2,0,5,0,1
0,458,42051,30,25,7,2,1,4,0,423,29176,7,25,36,0,0,2,0,1
0,433,31097,47,7,23,0,0,1,0,545,40709,23,7,43,1,1,6,0,0
0,404,37565,134,25,19,2,0,0,0,409,37732,19,25,61,0,1,3,0,0
0,432,34564,169,17,18,0,1,1,0,446,35536,18,17,50,2,0,1,0,0
0,515,41330,65,21,18,2,1,4,0,458,36173,18,21,52,0,0,1,0,0
0,519,37554,39,15,13,1,1,1,0,552,35538,13,15,49,1,0,3,0,0
0,492,39647,47,16,16,2,0,5,0,479,38083,16,16,52,0,1,4,0,1
0,469,32486,44,8,14,1,0,1,0,522,35021,14,8,48,1,1,2,0,0
0,500,36419,35,17,12,2,0,1,0,486,35553,12,17,34,1,1,4,0,1
0,463,40639,32,23,15,0,1,3,0,491,35280,15,23,39,3,0,1,0,1
0,426,38521,76,21,20,0,1,2,0,490,41237,20,21,374,3,0,5,0,0
0,467,36267,36,17,16,0,1,0,0,502,37502,16,17,37,2,0,4,0,0
0,417,39286,48,23,20,0,0,1,0,476,38775,20,23,51,2,1,2,0,0
0,513,41138,80,19,7,0,0,6,1,489,31350,7,19,33,1,0,1,0,1
0,349,37729,68,23,34,1,0,0,0,491,45202,34,23,70,0,1,6,1,0
0,454,36969,31,14,29,0,0,1,0,465,41317,29,14,42,2,1,6,0,0
0,448,39231,74,24,23,0,1,3,0,395,38889,23,24,41,2,0,2,0,1
0,450,36730,37,18,15,1,0,2,0,471,35812,15,18,41,1,1,2,0,1
0,417,32170,40,15,26,1,0,0,0,488,43351,26,15,58,1,1,4,0,0
0,410,37960,131,21,28,0,0,1,0,443,41048,28,21,59,2,1,3,0,0
0,478,38780,38,22,9,2,1,3,0,456,31714,9,22,77,1,0,0,0,1
0,506,39443,45,25,11,2,1,1,0,467,32988,11,25,42,0,0,1,0,1
0,509,39563,54,20,9,2,1,3,0,430,33213,9,20,51,0,0,2,0,1
0,483,35730,57,19,24,1,0,0,0,413,39301,24,19,30,1,1,3,0,0
0,498,41947,35,21,10,3,1,5,0,505,32750,10,21,32,0,0,0,0,1
0,494,34444,63,11,7,1,0,3,0,466,32956,7,11,48,1,1,3,0,1
0,502,34129,55,9,20,0,1,2,0,492,38048,20,9,47,2,0,3,0,0
0,494,35126,44,13,19,0,0,0,0,516,39751,19,13,73,2,1,4,0,0
0,514,40871,42,23,12,1,1,5,0,457,33644,12,23,36,2,0,1,0,1
0,383,37902,35,23,19,0,1,2,0,397,36257,19,23,38,1,0,2,0,0
0,394,35312,44,19,21,0,1,0,0,486,39919,21,19,43,2,0,3,0,0
0,482,40744,55,28,13,2,1,4,0,423,33874,13,28,40,0,0,2,0,1
0,464,40975,72,22,20,1,1,4,0,420,35575,20,22,152,1,0,1,0,1
0,455,41203,104,23,17,1,1,3,0,450,36275,17,23,50,1,0,3,0,1
0,423,30886,24,9,29,0,0,0,0,480,43540,29,9,49,2,1,5,0,0
0,509,46954,272,36,11,2,0,4,0,422,34087,11,36,38,0,0,4,0,1
0,452,43560,36,30,12,1,0,4,0,412,32824,12,30,38,1,0,2,0,1
0,414,39319,124,21,8,1,0,4,0,466,31353,8,21,51,1,1,1,0,1
0,475,41196,39,25,16,1,1,3,0,423,35567,16,25,37,1,0,2,0,1
0,498,42223,37,20,16,0,1,4,0,502,36457,16,20,40,2,0,3,0,1
0,508,40407,116,21,16,0,1,2,0,473,35119,16,21,38,2,0,3,0,0
0,517,35549,41,8,15,1,1,4,0,513,37434,15,8,53,1,0,3,0,1
0,490,32735,54,8,13,0,1,1,0,526,36559,13,8,50,2,0,3,0,0
0,354,37764,45,20,21,1,0,0,0,459,38968,21,20,39,1,1,6,0,1
0,423,30569,42,9,17,0,0,0,0,470,38006,17,9,37,2,1,4,0,0
0,454,35808,37,12,28,1,0,0,0,475,39571,28,12,37,1,1,6,0,1
0,469,36520,40,15,21,0,0,1,0,455,39068,21,15,38,2,1,5,0,0
0,504,36757,38,13,10,1,1,2,0,520,34126,10,13,37,1,0,1,0,0
0,495,36473,28,15,26,1,1,1,0,500,40118,26,15,45,1,0,2,0,0
0,455,36558,41,16,24,0,0,1,0,472,40979,24,16,49,1,1,5,0,0
0,511,38197,38,13,7,1,0,3,0,490,33444,7,13,48,2,1,4,0,0
0,454,32692,72,8,13,0,0,0,0,493,35458,13,8,30,2,1,3,0,0
0,482,36017,34,16,23,1,0,1,0,479,41519,23,16,42,1,1,5,0,0
0,487,31781,126,7,13,1,1,0,0,513,35223,13,7,48,2,0,3,0,1
0,534,39597,41,17,15,2,0,3,0,405,33424,15,17,73,0,1,0,0,1
0,504,34122,29,8,11,0,1,2,0,509,34218,11,8,38,2,0,1,0,1
0,491,41590,59,21,23,0,1,3,0,456,38624,23,21,41,2,0,3,0,0
0,507,38345,53,16,17,0,1,2,0,528,38272,17,16,63,2,0,3,0,1
0,504,33591,39,9,20,2,0,1,0,518,37866,20,9,120,0,1,2,0,1
0,436,37422,44,19,16,2,1,2,0,436,36043,16,19,46,1,0,2,0,0
0,434,37106,39,16,10,0,1,3,0,445,32341,10,16,70,2,0,1,0,1
