,game_duration,game_ended_in_surrender,game_ended_in_early_surrender,blue_side_won,total_blue_side_minions_killed,total_blue_side_kills,total_blue_side_deaths,total_blue_side_assists,total_blue_side_gold_earned,total_blue_side_gold_spent,total_blue_side_wards_killed,total_blue_side_wards_placed,total_blue_side_vision_score,total_towers_destroyed_by_blue,total_inhibitors_destroyed_by_blue,total_blue_side_dragons_killed,total_blue_side_horde,total_blue_side_baron,total_blue_side_riftHerald,total_red_side_minions_killed,total_red_side_kills,total_red_side_deaths,total_red_side_assists,total_red_side_gold_earned,total_red_side_gold_spent,total_red_side_ward_takedowns,total_red_side_wards_placed,total_red_side_vision_score,total_towers_destroyed_by_red,total_inhibitors_destroyed_by_red,total_red_side_dragons_killed,total_red_side_horde,total_red_side_baron,total_red_side_riftHerald
0,1799,False,False,True,820,32,42,51,61419,56225,3,62,115,9,2,1,6,0,1,890,42,32,53,66310,60508,17,43,131,6,1,3,0,1,0
1,2009,False,False,True,874,41,52,60,72434,66950,9,53,103,9,2,3,6,0,0,832,52,42,54,71218,65833,13,45,134,8,1,2,0,2,1
2,2840,False,False,False,1192,68,56,103,101020,105835,27,66,189,5,0,2,1,1,0,1102,55,69,77,98296,91900,19,91,212,11,8,5,5,2,0
3,2204,False,False,False,975,22,44,27,66360,64476,24,78,195,9,1,1,3,0,1,929,44,22,65,75259,66930,13,73,169,9,3,4,3,2,0
4,1917,False,False,True,906,38,32,46,70195,61325,16,63,144,9,2,2,3,2,0,909,32,38,50,62801,61270,18,56,159,6,0,2,3,0,1
5,1363,False,False,False,625,13,26,19,39506,36868,21,45,113,3,0,0,1,0,0,709,26,13,34,51036,44680,10,59,120,10,1,4,5,1,1
6,1742,False,False,False,908,40,46,37,61597,59458,12,52,133,3,0,1,3,0,0,897,45,40,53,70003,62793,11,49,123,11,3,3,3,1,1
7,1944,False,False,False,834,26,37,41,57800,55900,12,74,153,2,0,1,3,0,0,932,37,26,43,68260,59275,30,57,173,11,4,4,3,1,1
8,2075,False,False,True,1059,41,27,44,74615,64480,24,61,159,11,3,4,0,1,0,834,27,42,28,60021,58250,12,76,145,3,0,0,6,0,1
9,2281,True,False,False,986,32,52,40,74041,70305,19,64,167,7,0,2,5,1,1,1079,52,32,67,82149,71855,16,78,188,8,2,4,1,1,0
10,1774,False,False,False,826,20,23,26,51217,48460,18,77,181,2,0,3,1,0,0,828,23,20,37,56059,50125,31,49,165,10,2,1,5,0,1
11,2056,False,False,True,882,43,31,62,70524,62958,17,77,188,10,2,4,0,1,1,762,31,43,45,61940,60363,14,66,149,2,0,1,6,1,0
12,1841,False,False,True,924,37,34,52,66744,62975,10,43,102,11,3,2,1,1,0,862,34,37,52,62829,57000,10,42,128,6,0,2,5,0,1
13,2052,False,False,False,895,26,41,32,59703,57325,19,74,180,4,0,1,5,0,1,851,41,26,44,69541,59550,20,60,184,10,2,4,0,2,0
14,2138,False,False,True,778,44,43,101,72478,62200,20,74,183,9,1,2,0,2,1,930,43,44,65,70365,70412,19,61,164,5,0,3,4,0,0
15,1600,False,False,False,503,27,29,30,44922,39850,23,64,154,1,0,1,0,0,0,676,29,27,32,51383,46750,18,67,127,10,1,3,3,0,1
16,2164,False,False,False,918,37,36,58,67563,64333,23,80,181,5,1,1,3,0,0,1010,36,37,63,73727,65583,23,79,202,9,1,4,0,1,1
17,1748,False,False,False,677,34,53,39,55960,52558,10,58,128,5,0,2,0,0,1,745,52,34,77,69267,57425,11,52,115,11,3,2,6,1,0
18,1501,False,False,True,740,33,19,49,53306,46801,14,36,102,7,1,3,6,0,1,691,19,33,18,44316,41443,4,45,96,2,0,1,0,0,0
19,1798,False,False,False,730,43,53,59,62807,57050,10,50,106,5,0,1,3,0,0,783,53,43,66,69389,67558,9,46,98,11,2,3,0,0,1
20,3114,False,False,True,1291,57,72,65,107791,100110,32,106,305,11,2,3,3,3,0,1220,72,57,100,108928,102205,29,112,257,8,2,5,3,1,1
21,1335,False,False,False,610,21,29,27,43844,39175,6,48,96,4,0,1,3,0,1,659,29,21,41,51238,43938,11,31,84,8,1,2,3,1,0
22,1514,False,False,False,603,14,34,23,40869,39700,8,39,82,1,0,0,0,0,0,808,34,14,37,55768,47850,9,40,107,10,2,4,3,0,1
23,1804,False,False,False,931,25,32,27,61301,59730,14,70,142,7,2,3,0,0,0,851,32,25,56,64874,57388,12,69,145,11,4,2,6,2,1
24,1988,False,False,True,873,44,26,45,66936,61350,16,39,96,11,4,3,3,1,1,821,25,44,36,58926,54225,13,57,115,2,0,1,0,0,0
25,2009,False,False,False,856,37,47,41,66873,63775,18,59,141,8,3,0,6,0,0,1003,47,37,53,72895,65525,14,64,141,8,1,4,0,1,1
26,1809,True,False,True,855,30,17,45,58401,53900,27,65,199,9,1,3,6,0,0,837,17,30,29,51893,48508,19,82,158,2,0,0,0,0,1
27,1988,False,False,False,903,26,36,40,58101,55710,28,69,180,2,0,2,3,0,0,1011,36,26,79,71756,64958,21,78,201,11,1,3,3,2,1
28,1649,False,False,True,829,33,13,46,59872,54933,15,52,126,10,1,4,6,1,1,745,13,33,25,44862,41550,12,42,116,2,0,0,0,0,0
29,1455,True,False,False,639,7,33,8,37502,34583,12,55,94,2,0,0,1,0,0,771,33,7,32,54551,46025,27,41,116,8,2,2,5,1,1
30,1777,True,False,False,872,18,35,17,52719,48405,19,62,169,3,0,1,3,0,0,937,35,18,34,62110,55255,10,62,142,10,2,2,2,0,0
31,1816,False,False,True,822,32,26,62,63396,55325,17,58,156,8,1,3,3,2,0,862,26,32,41,59434,57020,21,66,175,4,0,2,3,0,0
32,923,True,False,True,422,22,8,20,31456,27743,4,25,51,2,0,1,4,0,0,353,8,22,10,24138,22100,3,20,46,0,0,0,0,0,0
33,1583,False,False,True,733,43,20,48,61646,57250,17,49,124,10,2,4,0,1,1,687,19,43,26,47426,44538,8,50,95,1,0,0,3,0,0
34,2001,False,False,False,908,24,39,25,57330,54458,18,70,167,3,0,1,3,0,0,980,39,24,35,69211,64790,20,72,171,10,2,3,3,1,0
35,1260,True,False,True,621,26,12,41,43974,37025,9,49,109,5,1,2,6,0,1,520,12,26,16,36269,34483,8,39,88,2,0,1,0,0,0
36,976,True,False,False,410,9,22,15,25627,23200,3,32,60,0,0,0,3,0,0,499,22,9,29,33466,29650,13,37,85,2,0,2,3,0,0
38,1299,False,False,True,684,36,18,54,49103,41700,4,49,99,7,1,2,6,0,1,604,18,36,22,40313,38100,8,38,76,1,0,1,0,0,0
39,1657,True,False,True,903,30,17,53,60656,53750,42,59,168,7,0,4,0,1,0,848,17,30,19,49178,44475,25,81,187,2,0,0,6,0,0
40,2453,False,False,False,1057,41,42,66,80129,78500,21,89,231,6,2,2,1,1,0,1164,42,41,67,82720,75035,24,83,225,10,1,4,5,0,0
41,2621,False,False,False,1159,35,55,48,86008,81080,20,86,209,11,3,1,5,0,0,1238,55,35,79,94708,87000,37,93,256,8,3,5,1,3,1
42,1251,True,False,True,645,33,13,51,48266,43100,14,42,108,5,1,2,3,1,0,576,12,33,17,36370,32543,6,49,89,2,0,1,3,0,0
43,1690,False,False,False,936,15,26,22,51923,50373,14,66,134,3,0,1,1,0,0,981,26,15,29,60271,53105,17,59,156,9,2,3,5,1,1
44,1983,True,False,True,908,33,35,54,67252,61638,4,59,130,11,2,4,3,0,1,870,35,33,57,64596,61750,13,50,131,6,1,1,3,1,0
45,1767,False,False,True,847,38,18,72,62930,55350,12,57,130,8,1,2,3,1,0,762,18,38,14,51036,49983,15,48,124,5,0,2,3,0,1
46,1748,False,False,True,864,39,28,48,63736,58658,16,57,157,9,1,2,0,1,1,833,28,40,39,55252,54000,10,54,110,3,0,2,6,0,0
47,1744,True,False,False,691,25,23,25,50246,46783,10,61,128,4,0,2,0,0,1,716,23,25,39,51095,44225,9,50,102,5,0,2,3,0,0
48,1706,False,False,True,767,48,42,71,68903,62700,10,48,115,8,2,2,3,2,1,643,42,48,41,59141,57112,5,69,136,4,0,2,3,0,0
49,2554,False,False,False,1036,63,45,121,91211,85390,24,73,204,7,2,2,4,1,0,1146,45,63,69,91003,80750,19,79,182,10,1,4,0,2,1
50,1710,True,False,False,771,23,45,27,51533,49320,11,61,124,3,0,0,2,0,0,894,45,24,60,62479,54525,24,43,158,8,1,4,4,0,0
51,1742,False,False,True,757,41,33,66,61170,52975,15,45,130,7,1,2,6,1,1,749,33,41,45,55690,53575,10,51,132,4,0,1,0,0,0
52,1676,False,False,True,761,33,9,50,57967,53530,8,49,121,11,2,3,0,1,1,728,8,33,5,45152,41900,4,49,94,4,0,1,6,0,0
53,153,False,True,False,31,0,0,0,3541,1950,0,3,2,0,0,0,0,0,0,33,0,0,0,3614,2450,0,1,1,0,0,0,0,0,0
54,1558,False,False,False,733,23,38,25,51257,47825,15,60,123,2,0,2,0,0,0,755,38,23,42,59736,54750,22,63,151,11,3,1,6,1,1
55,1803,True,False,False,931,17,23,25,53078,50775,28,66,156,1,0,1,6,0,1,1125,23,17,30,66452,58775,24,81,210,10,2,4,0,2,0
56,429,True,False,False,142,3,7,3,10518,8225,2,6,11,0,0,0,0,0,0,181,7,3,7,12811,6600,2,11,22,0,0,0,3,0,0
57,1365,True,False,True,696,28,8,37,45128,38500,3,32,68,5,0,2,2,0,0,619,8,28,5,34226,31608,7,45,89,1,0,1,1,0,1
58,1335,False,False,True,579,33,16,48,50071,41465,6,38,92,8,1,2,3,1,1,540,16,33,15,37220,35050,6,47,110,1,0,0,0,0,0
59,2046,True,False,True,989,37,31,40,70817,62925,23,90,206,11,3,2,1,1,0,964,31,37,39,61282,56051,26,70,193,3,0,3,5,0,1
60,1811,False,False,True,857,37,16,48,62381,56990,17,56,172,11,3,2,6,0,1,815,16,37,19,49965,46750,7,62,110,2,0,2,0,0,0
61,1631,False,False,False,863,14,35,12,51123,49708,34,60,138,5,0,0,5,0,1,825,35,15,62,57971,48755,34,84,215,8,1,4,1,0,0
62,1415,True,False,False,561,16,52,19,40291,37105,2,23,53,1,0,0,3,0,0,646,52,17,41,57656,52133,2,44,95,11,2,3,3,0,1
63,977,True,False,False,456,10,21,12,27953,22400,3,27,50,1,0,0,3,0,0,505,21,10,30,36499,31483,11,36,92,4,0,1,3,0,1
64,2376,False,False,False,1173,31,35,36,78202,71175,32,75,225,8,0,2,4,1,1,1164,35,31,40,79487,71360,24,104,242,10,2,4,1,2,0
65,1875,True,False,False,900,15,35,21,55907,54255,18,63,163,5,0,3,6,0,0,888,35,15,51,64676,58300,19,65,165,8,1,1,0,1,0
66,1933,False,False,True,929,49,30,74,77130,64825,12,55,134,8,1,3,1,2,1,934,30,49,36,67008,61165,17,55,150,6,0,1,5,0,0
67,1814,False,False,True,990,43,21,53,68385,58783,15,62,157,9,1,2,4,1,1,925,20,43,24,58248,56050,13,57,130,3,0,2,2,1,0
68,1456,False,False,True,694,42,16,38,55978,50933,8,45,100,9,1,2,2,1,0,613,16,42,15,41135,40130,8,46,117,1,0,1,4,0,1
69,2102,False,False,True,934,30,48,43,70510,63300,11,58,189,11,5,1,2,1,1,948,48,30,74,69691,67438,6,44,102,6,1,3,4,0,0
70,2168,False,False,False,1040,25,42,29,66221,63965,28,87,218,8,3,3,3,0,0,844,41,25,67,69031,63150,29,86,202,8,1,2,0,1,0
71,1658,False,False,False,668,19,37,29,44922,42825,13,47,105,0,0,1,0,0,0,708,37,19,60,58315,50570,20,55,159,9,1,3,5,1,1
72,1062,True,False,True,559,14,3,10,35143,32100,3,33,64,5,0,2,6,0,1,502,3,14,3,25404,23308,5,33,63,0,0,0,0,0,0
73,1762,False,False,True,859,29,22,49,60495,55575,23,52,154,7,1,3,0,1,0,865,22,29,31,54368,53675,11,66,134,5,0,1,3,0,1
74,1451,False,False,True,689,27,10,43,50359,42550,11,48,120,11,3,1,4,1,1,703,10,27,15,39831,37625,7,40,87,0,0,1,2,0,0
75,1498,False,False,False,617,24,40,35,46871,42050,8,41,89,3,0,0,3,0,1,734,40,24,63,58085,51700,10,55,127,11,2,3,3,0,0
76,1881,False,False,True,818,46,35,44,67182,56975,6,61,142,9,1,1,0,1,0,761,35,46,28,60580,57603,11,45,136,4,0,3,6,1,1
77,1840,False,False,False,923,17,40,18,55523,52493,10,66,129,5,0,0,3,0,0,809,40,17,40,64105,57800,18,59,151,9,2,5,3,1,1
78,2480,False,False,True,1062,48,39,57,84925,73650,22,83,202,9,2,2,2,0,0,993,39,48,35,77098,72475,20,80,198,8,3,4,4,2,1
79,1239,True,False,True,771,15,6,23,43440,34658,18,52,129,5,0,2,5,0,1,684,6,15,7,35104,32983,20,40,84,2,0,1,1,0,0
80,2053,False,False,True,984,36,17,69,69478,63225,32,101,250,8,1,2,6,2,0,1116,17,36,23,62510,59850,29,86,198,6,0,3,0,0,1
81,2436,False,False,True,1101,61,57,76,94270,84750,33,114,245,9,2,2,3,2,1,936,55,61,85,82514,76705,44,73,250,8,2,4,3,1,0
82,1641,False,False,False,729,27,32,28,50834,46925,12,61,139,4,0,1,4,0,0,763,32,27,53,56145,50950,14,41,93,8,2,3,0,0,1
83,1659,True,False,False,780,26,36,31,52731,50758,18,63,132,3,0,1,6,0,0,874,36,26,50,62842,58205,13,59,138,7,1,3,0,1,1
84,1529,False,False,True,673,49,21,37,58857,52290,9,42,111,10,2,3,3,0,1,568,21,49,21,44372,41350,1,48,81,1,0,0,0,0,0
85,2043,False,False,False,972,34,37,45,66450,63275,20,69,166,3,0,3,1,0,0,1055,37,35,39,74897,67700,16,75,176,10,2,1,5,2,1
86,1477,True,False,True,721,38,20,45,59732,52850,18,53,126,11,3,1,4,1,1,660,20,38,34,45670,42347,17,60,116,1,0,2,1,0,0
87,2037,False,False,False,947,29,45,37,64938,61655,25,82,198,7,1,3,6,1,0,947,45,29,73,74145,66968,27,89,204,8,1,2,0,1,1
88,2149,True,False,True,926,66,41,73,83585,77328,24,58,178,9,4,4,4,2,1,916,41,66,55,73339,73650,13,69,138,2,0,1,2,0,0
89,1329,False,False,True,687,46,13,47,55247,47658,7,27,70,11,2,3,4,0,1,562,13,46,11,36486,34600,5,31,71,1,0,0,2,0,0
90,1968,False,False,False,844,26,37,32,57589,54785,17,53,138,3,0,0,6,0,1,998,37,26,49,70157,61535,11,72,160,11,3,4,0,1,0
91,1627,False,False,True,772,36,14,35,59869,51875,8,54,129,11,3,3,3,1,1,674,14,36,11,42428,39158,7,46,101,0,0,1,3,0,0
92,913,True,False,True,452,16,11,13,31507,26125,7,21,52,4,0,1,6,0,1,368,11,16,8,24696,23200,1,25,38,0,0,1,0,0,0
93,919,True,False,False,403,3,19,2,21761,20725,8,27,56,0,0,0,3,0,0,422,19,3,22,29973,26325,5,30,60,2,0,2,0,0,0
94,2012,False,False,True,951,38,32,74,71165,62235,21,64,155,7,1,0,2,1,0,997,32,39,40,66090,63200,21,58,162,6,0,4,4,1,1
95,1953,False,False,False,738,30,51,45,59037,55650,4,50,100,4,0,1,4,0,0,795,51,30,56,67485,62075,2,59,118,10,2,4,2,0,1
96,1290,True,False,False,625,13,32,13,36809,34033,8,36,76,1,0,0,1,0,0,688,31,14,33,50271,44495,7,42,86,6,1,3,4,1,1
97,1897,False,False,True,745,41,39,60,65048,59250,23,68,195,7,1,2,5,1,1,842,39,41,48,65341,62350,9,64,127,5,0,3,1,0,0
98,976,True,False,False,419,7,16,5,24272,20558,3,31,57,0,0,1,0,0,0,433,16,7,14,29726,23575,9,24,66,2,0,0,6,0,0
99,2121,False,False,False,752,52,65,60,75931,71443,10,58,111,11,4,3,4,0,1,829,65,52,96,85534,76375,15,73,159,8,1,3,0,2,0
100,2063,False,False,False,904,29,38,41,60263,57930,18,91,193,3,0,2,3,0,1,1007,38,29,46,71556,66270,25,74,196,9,1,3,3,1,0
102,1556,False,False,False,707,23,36,39,48547,45725,6,52,106,3,0,1,6,0,0,797,36,23,46,61246,55975,10,41,90,11,3,2,0,1,1
103,1714,False,False,True,746,48,22,77,63674,52768,16,64,154,10,3,4,6,1,1,745,22,48,19,51991,49600,21,44,126,2,0,0,0,0,0
104,1324,False,False,False,555,13,33,17,35255,33270,4,37,78,0,0,0,0,0,0,704,33,13,27,50332,44150,9,36,101,11,2,3,6,0,1
105,1616,False,False,True,697,41,17,61,61270,53300,9,47,129,11,3,3,2,1,0,542,17,41,24,42054,38325,9,44,106,1,0,0,4,0,1
106,1902,False,False,True,876,39,28,62,70720,63550,26,63,171,9,2,3,3,2,1,1009,28,39,39,63511,61875,30,63,193,7,1,2,3,0,0
107,1775,False,False,True,893,41,33,49,67839,58800,14,69,143,8,1,3,6,1,0,759,33,41,54,56136,53100,18,63,154,1,0,1,0,0,0
108,1772,False,False,False,739,29,48,26,55587,50000,8,52,119,5,0,1,4,0,0,793,48,29,67,65424,61470,9,59,138,10,2,3,2,0,0
109,1355,False,False,False,589,14,32,11,35612,32105,14,39,88,1,0,0,0,0,0,617,32,14,59,50961,42650,9,49,92,9,2,2,6,1,1
110,2393,False,False,True,1088,41,36,51,80237,73075,19,82,187,11,5,4,3,1,1,1099,35,41,56,74796,69958,26,79,205,4,0,2,3,0,0
111,841,True,False,True,404,12,6,14,25537,22233,4,22,48,0,0,1,4,0,0,369,6,12,7,22346,16725,2,20,34,0,0,0,1,0,0
112,1477,False,False,True,587,22,20,30,44992,41950,3,48,89,8,2,2,2,0,1,574,20,22,34,43058,38000,7,32,71,0,0,1,4,1,0
113,1442,False,False,True,668,29,22,42,52019,46700,9,51,103,9,2,2,3,0,1,594,22,29,33,41808,38825,13,35,86,0,0,2,0,0,0
114,1538,False,False,False,663,21,30,35,48808,56225,13,50,125,4,0,0,0,1,0,778,30,21,42,55132,49775,12,50,118,10,2,4,3,0,1
115,1835,False,False,True,832,43,40,79,65602,58060,18,48,107,7,1,1,0,0,1,807,40,43,61,64952,59510,19,69,173,7,1,2,6,0,0
116,1669,True,False,False,974,22,32,21,55722,53970,21,45,124,6,0,0,6,0,1,908,32,22,49,61464,55185,15,63,148,8,2,4,0,1,0
117,2388,False,False,False,945,39,39,61,72393,70835,17,81,174,3,0,2,2,0,1,1052,38,39,53,79984,77108,25,65,178,11,5,4,4,1,0
118,2181,False,False,True,942,53,48,69,83343,79693,6,84,165,11,4,2,3,1,0,1038,48,53,54,81880,77800,21,59,155,8,1,4,0,2,1
119,1821,False,False,False,878,8,27,11,47921,46300,17,74,148,2,0,1,2,0,0,1101,27,8,25,66434,58820,28,56,152,11,4,3,4,2,1
120,1538,False,False,False,732,23,33,35,49070,45683,16,49,105,2,0,1,0,0,0,797,33,23,60,59180,52505,10,60,133,10,2,2,5,1,1
121,1740,False,False,False,905,22,44,29,53352,51225,16,47,122,1,0,1,1,0,0,913,44,23,58,69228,64000,13,68,158,11,3,3,5,1,1
122,2577,False,False,True,1128,46,44,67,88700,77275,24,109,271,10,1,5,0,2,1,1015,43,46,72,83780,80125,33,92,239,4,0,1,3,1,0
123,1132,True,False,True,623,16,9,23,41534,35583,11,45,90,8,2,1,6,0,1,520,9,16,12,30806,28125,11,38,80,2,0,1,0,0,0
124,1541,False,False,False,624,23,35,26,44384,42955,10,53,125,2,0,0,2,0,0,721,34,23,44,58070,49168,14,53,132,10,2,3,4,1,1
125,2350,False,False,False,1022,29,54,35,78676,77775,19,85,247,8,1,3,3,1,1,1122,54,29,77,83958,75825,28,60,236,9,1,3,3,1,0
126,1946,False,False,True,918,60,32,101,77811,72760,17,65,181,7,1,3,3,1,0,807,32,60,48,64160,62175,14,79,161,5,0,1,3,0,0
127,1569,False,False,True,762,36,19,41,57970,50675,21,47,153,8,1,4,6,1,1,705,19,36,30,46351,44283,9,50,103,3,0,0,0,0,0
128,1604,False,False,True,782,30,21,37,60646,55325,15,68,152,11,3,4,5,1,1,704,21,30,19,45906,43660,17,35,99,1,0,0,1,0,0
129,2108,False,False,False,928,33,42,64,67371,63400,26,68,189,5,1,1,0,0,0,872,42,33,75,73358,66300,21,72,184,11,3,4,6,1,0
130,676,True,False,True,297,13,8,14,23172,20200,2,18,30,1,0,0,3,0,0,224,8,13,6,16952,12875,0,13,20,0,0,1,0,0,0
131,933,True,False,False,410,7,18,11,25167,22005,8,29,61,0,0,0,0,0,0,525,18,7,18,32800,27325,10,28,55,2,0,2,3,0,0
133,1778,False,False,True,760,51,25,58,65375,59980,11,44,118,10,2,4,0,1,0,821,25,51,45,59105,57455,9,49,119,2,0,0,6,0,0
134,1937,False,False,False,837,32,42,47,64483,59620,12,66,174,4,0,3,1,0,0,921,42,32,64,71060,63433,13,71,171,10,3,2,5,2,0
135,2933,False,False,True,1324,60,50,122,107662,92860,43,112,273,8,1,4,5,2,1,1231,50,60,81,99285,105213,43,113,317,11,6,4,1,3,0
136,1168,True,False,False,439,13,20,15,30192,28325,6,32,61,0,0,0,2,0,0,500,20,14,23,37781,34950,8,36,89,5,0,3,1,0,1
137,1777,False,False,True,918,33,24,57,67491,59375,26,66,164,11,4,1,3,2,1,819,24,33,35,56331,52260,22,73,160,4,0,3,3,0,0
138,966,True,False,False,356,8,20,11,23777,22525,3,27,51,0,0,0,3,0,0,521,20,8,29,37726,31058,3,23,53,5,0,1,3,0,0
139,1857,False,False,False,780,29,43,36,58332,57613,6,55,110,3,0,3,2,0,0,918,43,30,30,68868,56650,19,67,169,11,3,2,4,2,1
140,1958,False,False,True,830,48,40,33,67565,64875,7,45,93,9,2,3,3,1,1,733,40,49,49,63884,61260,12,78,185,6,0,2,0,0,0
141,948,True,False,False,390,6,19,7,23474,20750,6,31,57,0,0,0,2,0,0,491,19,6,17,32206,26175,9,26,66,2,0,2,4,0,0
142,1720,False,False,True,772,48,19,69,63165,57995,14,51,161,11,3,3,3,1,0,745,19,48,21,53638,49275,7,57,107,4,0,1,3,0,1
143,1485,False,False,True,733,36,25,42,57880,50750,15,44,117,10,1,1,0,1,1,662,25,36,40,46246,43075,12,63,142,2,0,2,6,0,0
144,2391,False,False,False,877,48,54,47,75772,73308,15,75,177,10,2,3,4,0,1,1031,53,48,77,87541,77110,18,71,170,11,3,3,2,2,0
145,1370,False,False,False,716,10,22,14,37516,35600,13,54,118,1,0,0,3,0,0,896,22,10,25,53719,42983,23,54,142,11,3,2,3,1,1
146,1119,True,False,True,554,23,11,30,40552,36050,5,38,82,6,1,2,0,0,1,565,11,23,12,33736,30800,4,32,65,1,0,0,6,0,0
147,1623,False,False,False,771,11,34,6,42242,39108,9,47,131,0,0,1,5,0,0,922,34,11,37,59552,48818,21,56,151,10,2,2,1,1,0
148,1773,False,False,True,776,55,41,74,69310,57658,9,65,154,9,1,1,6,1,1,715,40,55,52,59243,58437,16,50,119,3,0,3,0,0,0
149,1319,False,False,True,602,32,18,30,51494,45837,12,31,102,10,2,1,5,1,1,577,18,32,16,38930,37300,10,44,97,1,0,1,1,0,0
150,1587,False,False,False,622,26,35,33,50698,46300,12,56,121,4,0,1,1,0,0,776,35,26,35,61009,55260,17,55,138,10,2,2,5,1,1
151,2286,False,False,True,1211,45,38,79,81638,73858,15,76,163,7,2,3,1,0,1,1150,38,45,46,82199,76420,32,44,169,11,5,2,5,3,0
152,1778,False,False,True,814,42,21,48,66061,58983,15,49,120,10,2,3,2,2,0,764,21,42,23,54321,52825,12,43,114,5,0,1,4,0,1
153,1413,False,False,True,732,31,10,26,49901,45233,18,47,119,9,2,3,3,0,1,632,10,31,11,36153,33750,10,50,104,0,0,0,0,0,0
154,1903,False,False,False,818,38,36,71,63364,62065,15,66,177,6,1,3,0,1,1,832,36,38,52,68022,60695,15,63,136,8,1,1,6,1,0
155,1672,False,False,False,860,17,34,24,50190,48375,8,47,99,2,0,1,4,0,0,927,34,18,54,61342,55058,16,47,143,9,1,2,2,1,1
156,1524,False,False,False,697,20,43,27,50042,47058,9,45,88,5,0,0,1,0,0,754,43,21,53,60481,55328,9,50,133,10,1,3,5,1,1
157,1683,False,False,False,690,12,42,14,45380,42685,8,44,110,1,0,0,6,0,0,865,42,12,58,63074,59550,15,42,127,11,3,4,0,0,1
158,2308,False,False,True,1029,55,36,59,80297,74050,23,65,143,8,1,1,0,0,0,938,36,55,29,70473,64900,19,84,184,6,0,4,3,1,1
159,1486,True,False,True,627,29,31,37,51002,46458,21,54,143,8,1,1,4,0,1,592,31,29,59,50783,45600,17,66,139,2,0,2,2,1,0
160,1950,False,False,False,764,25,43,42,55750,50850,6,48,88,3,0,0,3,0,0,934,43,25,54,74798,69458,15,80,196,11,3,5,3,2,1
161,2316,False,False,True,1011,38,30,79,76509,72035,38,97,275,9,2,2,6,2,1,1049,30,38,58,70228,65900,27,120,243,4,0,4,0,0,0
162,2351,False,False,False,1029,39,41,28,68842,63785,23,77,198,4,0,2,0,0,0,977,41,39,69,78630,74158,16,75,191,10,3,4,3,2,1
163,1494,False,False,False,641,16,41,15,41832,39325,17,37,100,1,0,0,0,0,0,681,41,16,42,54507,48603,11,56,134,8,1,3,4,1,1
164,1503,False,False,True,864,22,11,33,52443,46475,25,57,136,9,1,2,6,0,1,765,11,22,14,43624,41850,17,58,133,1,0,1,0,0,0
165,1989,False,False,True,816,49,41,74,70217,62966,17,66,164,9,1,4,2,1,1,766,41,49,73,66806,66083,19,71,167,7,1,0,4,0,0
166,2102,False,False,False,956,19,37,26,59272,55010,10,64,141,5,0,1,6,0,0,919,37,19,51,69063,62087,14,76,176,9,1,4,0,1,1
167,1380,False,False,True,658,32,15,44,50071,43383,8,44,102,9,2,3,3,1,1,641,15,32,23,40080,35075,6,33,78,2,0,0,3,0,0
168,2102,False,False,True,931,59,43,74,79420,70783,13,80,176,10,2,1,3,1,1,921,43,59,43,75853,70140,30,48,191,5,0,4,0,1,0
169,999,True,False,True,535,13,5,15,30312,28578,4,24,59,1,0,2,1,0,0,494,5,13,3,27278,24225,4,18,34,2,0,0,2,0,0
170,2196,False,False,False,943,37,46,49,73860,65805,15,59,148,7,1,2,3,0,1,1114,46,37,64,80134,73633,21,67,177,9,2,3,3,2,0
171,1569,False,False,True,750,30,7,40,53618,42325,24,55,153,10,2,3,6,1,1,695,7,30,7,37422,35550,14,49,102,0,0,0,0,0,0
172,1816,False,False,False,787,19,45,21,53292,50880,9,63,131,4,0,1,5,0,0,819,45,19,65,66306,59625,11,63,158,10,3,4,1,1,1
173,1559,False,False,False,616,27,32,36,47619,45350,11,38,91,3,0,1,2,0,0,680,32,27,48,57094,49950,8,54,115,10,2,3,2,1,1
174,1375,False,False,False,649,23,45,22,43798,43225,10,41,86,2,0,0,0,0,0,766,45,23,39,59102,53275,9,37,87,10,1,3,6,0,1
175,1291,True,False,False,524,4,27,3,29223,25958,5,42,78,0,0,0,0,0,0,598,27,4,22,44903,39600,17,39,104,8,1,3,6,1,1
176,1170,False,False,False,534,11,34,7,32970,31305,14,37,78,1,0,0,2,0,0,670,34,11,22,47738,38850,10,44,98,10,2,3,4,0,1
177,1972,False,False,False,917,20,37,21,57230,53970,17,49,114,1,0,1,0,0,0,1055,37,20,51,71478,63626,13,59,159,10,1,4,6,1,0
178,1422,True,False,False,667,23,34,32,46508,44475,14,49,107,3,0,0,6,0,0,761,34,23,60,54027,46743,13,62,132,5,0,3,0,1,1
179,1101,True,False,True,570,22,10,21,36631,29380,17,37,70,3,0,1,3,0,0,484,10,22,10,29966,27875,18,46,104,1,0,1,3,0,0
180,1524,False,False,True,797,32,18,34,56872,51550,6,32,74,10,2,3,0,1,1,733,18,33,18,45003,41308,3,52,103,1,0,1,6,0,0
181,1819,False,False,True,897,42,19,68,64874,59550,18,59,153,10,2,4,1,1,0,773,19,42,20,52722,49650,11,64,139,3,0,0,5,0,1
182,1787,True,False,True,861,29,16,22,57523,50808,11,64,135,7,1,3,1,0,0,737,16,29,21,46042,41250,11,64,124,1,0,1,2,0,0
