,game_duration,game_ended_in_surrender,game_ended_in_early_surrender,blue_side_won,total_blue_side_minions_killed,total_blue_side_kills,total_blue_side_deaths,total_blue_side_assists,total_blue_side_gold_earned,total_blue_side_gold_spent,total_blue_side_wards_killed,total_blue_side_wards_placed,total_blue_side_vision_score,total_towers_destroyed_by_blue,total_inhibitors_destroyed_by_blue,total_blue_side_dragons_killed,total_blue_side_horde,total_blue_side_baron,total_blue_side_riftHerald,total_red_side_minions_killed,total_red_side_kills,total_red_side_deaths,total_red_side_assists,total_red_side_gold_earned,total_red_side_gold_spent,total_red_side_ward_takedowns,total_red_side_wards_placed,total_red_side_vision_score,total_towers_destroyed_by_red,total_inhibitors_destroyed_by_red,total_red_side_dragons_killed,total_red_side_horde,total_red_side_baron,total_red_side_riftHerald
6601,1642,False,False,True,833,28,30,32,59190,51600,12,44,115,11,5,4,1,1,1,749,29,28,26,53314,44150,5,46,93,4,1,0,5,0,0
6602,1430,True,False,True,661,32,17,33,47801,42412,12,52,121,4,0,2,2,0,1,626,17,32,16,42122,38125,9,43,94,3,0,1,1,0,0
6603,1676,False,False,True,844,34,28,50,63123,54350,15,47,112,10,2,2,6,1,1,779,28,34,18,53197,50900,7,58,140,5,0,2,0,0,0
6604,1765,False,False,True,805,48,36,65,66620,58300,7,72,137,8,2,3,1,1,0,819,36,48,52,60927,56450,21,34,121,4,0,0,5,0,0
6605,2089,False,False,False,907,38,37,65,67010,63375,13,78,168,6,1,3,0,0,0,1068,37,38,47,76340,70438,21,76,176,10,1,2,6,2,0
6606,2037,False,False,False,968,29,35,46,70472,68008,26,82,204,8,1,3,3,1,0,937,35,29,65,70451,61725,33,79,195,10,2,1,3,1,1
6607,1925,False,False,True,889,20,37,35,62322,57335,7,69,141,11,4,4,2,2,0,923,37,20,62,63213,60910,6,45,98,3,0,1,4,0,1
6608,2192,False,False,False,833,29,50,41,63598,60925,17,71,166,3,0,1,6,0,0,905,50,29,64,77187,68870,17,73,189,11,4,3,0,2,1
6609,1795,False,False,False,855,26,33,40,57472,56050,19,51,129,4,0,2,0,0,0,876,33,26,69,65084,57608,16,77,156,11,3,2,6,1,1
6610,1321,False,False,True,735,29,11,25,52101,48225,9,46,113,10,2,3,5,0,1,579,11,30,14,35293,33133,7,45,91,0,0,0,1,0,0
6611,1592,False,False,False,814,11,25,13,43974,42075,12,48,107,1,0,2,0,0,0,838,25,11,21,54273,50358,8,44,99,10,2,1,3,1,1
6612,1145,True,False,False,560,5,22,8,29888,27050,10,42,81,1,0,1,0,0,0,655,22,5,21,40540,35850,10,39,88,5,1,2,6,0,1
6613,1814,True,False,True,823,39,18,60,64105,56425,11,51,108,7,1,4,0,2,1,858,17,40,15,55169,52075,6,54,136,5,0,0,6,0,0
6614,2096,False,False,False,835,41,35,73,65308,66233,28,69,172,5,0,1,3,0,0,881,35,41,44,70604,63810,21,68,185,9,1,4,3,2,1
6615,1557,False,False,False,750,17,38,22,48780,44300,13,40,88,4,0,0,0,0,0,742,37,17,44,57120,43850,9,39,127,10,2,4,6,1,1
6616,1354,True,False,False,601,13,24,10,36488,34185,10,46,94,0,0,1,0,0,0,806,24,13,31,50626,44045,12,47,112,8,1,2,6,1,1
6617,2056,False,False,False,926,30,37,52,62477,58350,20,79,179,1,0,2,0,0,1,903,37,30,53,69408,64575,26,79,180,11,5,3,6,1,0
6618,1515,True,False,False,629,10,27,17,41225,39825,9,48,99,2,0,1,5,0,0,700,27,10,47,50937,44091,14,55,127,8,2,3,1,1,1
6619,1927,False,False,True,869,43,51,50,71847,62208,9,54,121,10,2,3,1,1,1,771,51,43,71,65435,62280,19,48,150,4,0,2,5,0,0
6620,1934,False,False,False,960,22,32,42,61471,60255,27,70,168,6,0,0,4,0,1,908,31,22,57,67775,58905,21,69,172,8,2,5,2,2,0
6621,2351,False,False,False,1005,31,46,41,71985,67985,32,101,224,4,0,3,5,0,1,1138,46,31,63,82621,76105,30,98,232,11,2,3,1,2,0
6622,1488,False,False,True,693,38,17,58,56359,52058,13,53,136,10,2,2,6,1,1,668,17,38,26,43017,40137,14,51,108,0,0,1,0,0,0
6624,1883,False,False,True,822,39,16,51,65466,55950,5,51,130,11,3,4,3,2,1,818,16,39,25,51819,49925,14,58,123,2,0,0,0,0,0
6625,1729,False,False,True,930,33,30,51,64341,58933,18,67,160,9,2,1,3,1,0,760,30,33,29,55025,52025,22,48,136,6,0,3,3,0,1
6626,1942,False,False,True,960,40,32,45,71910,63241,12,67,143,11,2,1,6,2,0,895,32,40,43,62418,60125,24,63,166,4,0,3,0,0,0
6627,1990,False,False,True,819,47,25,74,69909,62475,11,73,166,10,2,4,1,2,1,902,25,47,33,62214,57058,14,52,106,6,1,1,2,0,0
6628,1480,False,False,True,808,42,26,48,61323,52910,4,55,106,11,3,1,0,1,0,646,26,42,27,47431,46200,14,41,105,4,0,1,6,0,0
6629,2010,False,False,False,918,23,41,18,60600,57993,8,66,143,4,0,1,0,0,0,870,41,23,43,70129,63330,12,56,144,10,3,3,6,2,1
6630,1570,False,False,True,788,34,17,39,57471,50450,11,54,117,10,2,2,6,1,1,708,17,34,23,44234,42800,15,36,101,2,0,2,0,0,0
6631,1554,False,False,False,796,7,33,11,44123,40925,12,45,88,3,0,0,1,0,0,795,33,8,46,55923,49660,9,59,133,10,2,4,2,1,1
6632,1166,True,False,True,571,25,8,28,41934,36500,3,35,84,6,1,2,6,0,1,473,8,25,12,29205,27158,7,24,59,0,0,0,0,0,0
6633,1705,False,False,False,814,27,29,38,53063,50833,30,75,186,3,0,3,0,0,0,832,29,27,34,57962,53705,19,76,166,10,2,1,6,0,1
6634,1726,False,False,True,819,29,26,39,59964,51200,7,54,121,11,3,1,2,1,0,807,26,29,29,52122,49300,13,46,121,3,0,3,1,0,1
6635,2433,False,False,True,1063,57,45,84,87915,79160,14,98,205,11,3,4,0,1,0,907,45,57,48,78927,75533,15,61,171,10,1,1,3,0,1
6636,1027,True,False,False,417,7,21,9,25576,23275,3,31,57,0,0,0,4,0,0,521,20,7,16,34441,27400,6,28,61,3,0,2,2,0,1
6637,1663,False,False,False,764,13,32,13,47686,45008,10,42,98,3,0,1,0,0,1,841,32,13,28,60981,54730,5,52,130,11,3,3,6,1,0
6638,1567,False,False,False,695,14,25,16,42994,38300,8,48,91,1,0,2,3,0,0,742,25,14,33,53791,48266,15,52,140,11,3,2,0,1,1
6639,1466,False,False,False,542,12,39,16,37514,36700,8,37,76,0,0,0,2,0,0,680,39,12,56,55366,45825,10,55,137,10,2,4,4,1,1
6640,1709,False,False,False,831,30,30,48,56068,53220,15,52,126,0,0,0,0,0,0,968,30,30,37,64340,60491,17,59,172,11,4,4,6,1,1
