,game_duration,game_ended_in_surrender,game_ended_in_early_surrender,blue_side_won,total_blue_side_minions_killed,total_blue_side_kills,total_blue_side_deaths,total_blue_side_assists,total_blue_side_gold_earned,total_blue_side_gold_spent,total_blue_side_wards_killed,total_blue_side_wards_placed,total_blue_side_vision_score,total_towers_destroyed_by_blue,total_inhibitors_destroyed_by_blue,total_blue_side_dragons_killed,total_blue_side_horde,total_blue_side_baron,total_blue_side_riftHerald,total_red_side_minions_killed,total_red_side_kills,total_red_side_deaths,total_red_side_assists,total_red_side_gold_earned,total_red_side_gold_spent,total_red_side_ward_takedowns,total_red_side_wards_placed,total_red_side_vision_score,total_towers_destroyed_by_red,total_inhibitors_destroyed_by_red,total_red_side_dragons_killed,total_red_side_horde,total_red_side_baron,total_red_side_riftHerald
2916,1229,False,False,True,653,37,21,27,48241,41983,12,33,83,8,2,1,6,0,0,631,21,38,21,41650,36150,5,27,58,1,0,1,0,0,0
2917,1912,True,False,False,1023,15,21,32,57712,56300,45,87,222,3,0,0,6,1,1,1085,21,15,29,64469,55758,45,108,260,6,0,4,0,1,0
2918,1741,False,False,True,851,25,17,40,60792,53883,30,114,211,11,3,1,1,2,0,936,17,25,20,51965,50195,39,68,160,5,0,2,5,0,1
2919,1554,True,False,True,831,24,16,38,53311,48775,19,54,151,5,0,4,2,1,1,770,16,24,21,45820,45410,8,58,111,2,0,0,4,0,0
2920,1379,True,False,False,637,22,35,23,43921,41500,8,37,85,3,0,0,3,0,0,646,35,22,58,55121,46905,10,54,120,10,1,3,0,1,1
2921,1562,False,False,True,773,38,28,38,59538,51693,29,92,201,9,1,2,2,1,0,727,27,38,25,51364,49875,41,78,202,2,0,1,1,0,1
2922,1101,True,False,False,455,9,28,8,28488,25525,8,31,70,0,0,0,6,0,0,644,28,10,27,43692,40525,11,39,99,6,0,2,0,0,0
2923,1518,False,False,False,705,26,29,47,48522,45650,28,53,146,1,0,1,1,0,0,735,29,26,39,53401,46750,17,61,143,9,2,2,2,0,1
2924,1438,False,False,False,690,4,23,3,35793,33725,11,47,140,2,0,0,4,0,0,757,23,4,34,50349,44250,15,50,135,10,2,3,2,1,1
2925,1760,False,False,True,911,35,28,59,66943,58330,22,64,170,11,2,4,0,2,1,868,28,35,36,56615,52475,16,71,141,2,0,0,6,0,0
2926,1313,True,False,False,621,19,30,30,41570,38175,13,58,116,2,0,0,0,0,0,651,30,19,41,45813,41450,16,51,121,3,0,3,6,0,1
2927,1384,False,False,True,669,29,23,50,53117,46450,28,63,130,9,1,1,4,1,1,663,23,29,39,46384,44508,30,70,186,4,0,2,0,0,0
2928,965,True,False,False,427,10,29,7,26750,24825,3,28,60,0,0,0,1,0,0,543,29,11,26,39379,32825,10,26,81,3,0,2,2,0,1
2929,1973,False,False,True,1065,30,30,35,71254,66190,26,67,194,10,2,2,5,2,1,998,29,30,39,64484,63075,22,66,159,3,0,2,1,0,0
2930,1659,False,False,False,770,21,34,31,51697,48378,16,57,131,4,0,0,6,0,1,828,34,21,57,61261,56843,20,68,164,9,1,4,0,1,0
2931,1913,True,False,False,944,32,27,43,60931,58893,26,81,198,4,0,0,0,0,1,900,27,32,44,63652,61125,26,88,217,5,0,4,6,2,0
2932,1587,False,False,False,783,23,41,32,50660,48760,15,52,110,3,0,0,4,0,1,841,41,23,70,64896,51455,19,63,149,10,2,3,2,1,0
2933,1725,False,False,True,806,33,27,55,64594,59208,35,106,226,7,1,3,3,1,1,878,27,33,48,55920,50950,37,66,160,5,1,0,3,0,0
2934,2089,False,False,True,953,40,35,76,76114,70750,37,78,239,11,5,2,1,2,0,936,35,40,58,67745,67660,19,82,186,5,0,2,2,0,1
2935,1992,False,False,True,1067,24,18,36,66920,57833,24,83,204,8,1,3,4,1,0,1051,18,24,28,62633,60050,24,87,191,5,0,3,2,1,1
2936,1638,False,False,True,866,31,22,38,58193,51550,17,39,119,9,1,3,6,0,1,872,22,31,22,57580,54575,11,61,128,6,0,0,0,1,0
2937,1474,True,False,False,709,14,29,23,44474,42620,24,61,141,2,0,0,0,0,1,892,29,14,34,54447,48237,32,62,134,8,1,3,0,1,0
2938,978,True,False,False,508,11,22,12,29429,26125,5,27,56,0,0,0,6,0,0,494,22,11,35,34600,29825,5,31,72,2,0,2,0,0,0
2939,1715,False,False,False,990,25,28,43,55278,54300,25,71,187,3,0,3,0,0,1,841,28,25,61,60502,55050,28,62,163,8,1,0,0,1,0
2940,1238,True,False,False,536,12,29,10,34128,30847,12,46,94,1,0,0,3,0,0,748,29,12,28,49667,42900,12,47,116,8,2,1,3,0,1
2941,1284,False,False,True,714,30,11,49,51674,45700,10,42,93,10,2,1,6,0,1,608,11,30,15,35614,32633,10,40,81,1,0,2,0,0,0
